date,time,temperature_2m,temp_f
2026-06-25,2026-06-25T09:45,16.3,
2026-06-25,2026-06-25T11:15,21.0,69.8
2026-06-25,2026-06-25T11:30,21.6,70.9
2026-06-25,2026-06-25T11:30,21.6,70.9
2026-06-25,2026-06-25T11:45,22.0,71.6
2026-06-25,2026-06-25T11:45,22.0,71.6
2026-06-25,2026-06-25T11:45,22.0,71.6
2026-06-25,2026-06-25T11:45,22.0,71.6
2026-06-26,2026-06-26T09:30,17.6,63.7
2026-06-26,2026-06-26T10:00,18.4,65.1
2026-06-26,2026-06-26T10:00,18.4,65.1
2026-06-26,2026-06-26T10:00,18.4,65.1
2026-06-26,2026-06-26T11:15,20.0,68.0
2026-06-26,2026-06-26T15:45,21.4,70.5
2026-06-27,2026-06-27T02:15,13.5,56.3
2026-06-27,2026-06-27T06:00,13.6,56.5
2026-06-27,2026-06-27T10:45,14.5,58.1
2026-06-27,2026-06-27T15:45,18.3,64.9
2026-06-28,2026-06-28T02:45,10.8,51.4
2026-06-28,2026-06-28T06:00,10.1,50.2
2026-06-28,2026-06-28T10:45,19.4,66.9
2026-06-28,2026-06-28T15:45,25.1,77.2
2026-06-29,2026-06-29T04:45,11.8,53.2
2026-06-29,2026-06-29T08:15,14.0,57.2
2026-06-29,2026-06-29T11:45,22.8,73.0
2026-06-29,2026-06-29T15:45,26.9,80.4
2026-06-30,2026-06-30T03:15,12.3,54.1
2026-06-30,2026-06-30T06:45,13.9,57.0
2026-06-30,2026-06-30T11:15,24.7,76.5
2026-06-30,2026-06-30T16:00,26.2,79.2
2026-07-01,2026-07-01T03:30,11.2,52.2
2026-07-01,2026-07-01T07:00,12.2,54.0
2026-07-01,2026-07-01T11:45,21.2,70.2
2026-07-01,2026-07-01T15:45,24.4,75.9
2026-07-02,2026-07-02T02:45,12.6,54.7
